group_label,NUM_EPOCHS,n_runs,mean_test_mae,std_test_mae,min_test_mae,mean_test_rmse
"Combo 1
Baseline",30,6,0.2247,0.066,0.134,0.3196
"Combo 1
Baseline",50,5,0.1882,0.0986,0.0936,0.2562
"Combo 1
Baseline",80,5,0.1687,0.051,0.1154,0.2783
"Combo 2
+Phase feat",30,5,0.2421,0.0617,0.1407,0.3458
"Combo 2
+Phase feat",50,5,0.2164,0.0795,0.132,0.3157
"Combo 2
+Phase feat",80,5,0.1786,0.0298,0.13,0.253
"Combo 3
+Attention",30,10,0.206,0.0508,0.139,0.2734
"Combo 3
+Attention",50,5,0.2557,0.1203,0.0979,0.4034
"Combo 3
+Attention",80,5,0.2018,0.0483,0.1267,0.2955
"Combo 4
+Attn+feat",30,6,0.1822,0.0401,0.1104,0.2475
"Combo 4
+Attn+feat",50,6,0.2119,0.0642,0.1484,0.2806
"Combo 4
+Attn+feat",80,5,0.2357,0.1257,0.1415,0.3606
"Combo 5
+Ratios",30,5,0.3631,0.434,0.1342,0.6498
"Combo 5
+Ratios",50,5,0.1792,0.0663,0.1172,0.2482
"Combo 5
+Ratios",80,5,0.17,0.0897,0.0471,0.2271
"Combo 6
+Ratio+feat",30,5,0.2549,0.1209,0.1608,0.3925
"Combo 6
+Ratio+feat",50,5,0.1402,0.0174,0.1242,0.1888
"Combo 6
+Ratio+feat",80,5,0.1777,0.0375,0.131,0.2292
"Combo 7
+Ratio+attn",30,5,0.1739,0.0607,0.1209,0.2206
"Combo 7
+Ratio+attn",50,5,0.1653,0.0463,0.1024,0.2306
"Combo 7
+Ratio+attn",80,5,0.2006,0.045,0.1422,0.2768
"Combo 8
Full IM2PROP",30,6,0.5315,0.8564,0.1455,0.604
"Combo 8
Full IM2PROP",50,5,0.1329,0.0364,0.0915,0.1903
"Combo 8
Full IM2PROP",80,5,0.1742,0.0819,0.1133,0.2889
